Type,Law/Practice,Number,Element name,UNIT,SOURCE,Question,Question label,ZERO (A),ONE (B),TWO (C),THREE (D),FOUR (E),FIVE (F),SIX (G),POLARITY,SCORING_SYSTEM,SCORE_PARAM_A,SCORE_PARAM_B,SCORE_PARAM_C,SCORE_PARAM_D,SCORE_PARAM_E,SCORE_PARAM_F,SCORE_PARAM_G,DATA_TYPE,DP,VALID_MIN,VALID_MAX,PRE_ROUND,INTERNAL NOTES,Component,Sub-component,Indicator
COMPOSITE,,,COMPOSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPONENT,,1,Value extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-COMPONENT,,1,Licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,1,Reserves disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,2,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose data on extractive resource reserves?,Reserves volume disclosure,"Yes, at the project level.","Yes, in the aggregate.","No, the government does not publicly disclose data on the stock of extractive resource reserves.",Not applicable/Other.,,,,High=good,multiple choice,100,80,0,.,.,.,.,,,,,,,1,1,1
QUESTION,Practice,3,,Qualitative rating A-F where A=best,NRGI research,How up-to-date is the publicly disclosed data on extractive resource reserves?,Reserves disclosure timeliness,The most recent publicly available data covers 2015 or 2016.,"The most recent publicly available data covers 2012, 2013 or 2014.",The most recent publicly available data covers 2011 or earlier years.,The government does not publicly disclose this data.,Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,1,1
QUESTION,Practice,4,,Qualitative rating A-F where A=best,NRGI research,Is the data disclosed on extractive resource reserves machine-readable?,Reserves disclosure machine-readability,The data is available via an API that is accompanied by a landing page and associated documentation.,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",The data is available in a proprietary machine-readable format (e.g. Access or XLS).,The data is available in a text-based format (e.g. PDF or Word).,The government does not publicly disclose data on extractive resource reserves in digital format.,The government does not publicly disclose this data.,Not applicable/Other.,High=good,multiple choice,100,90,80,50,0,0,.,,,,,,,1,1,1
INDICATOR,,2,Cadastre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,169,,Qualitative rating A-F where A=best,NRGI research,Does a government agency maintain a publicly available registry of rights and license details (i.e. a cadastre)?,Cadastre coverage,"Yes, the registry contains at least the following information:
- Name of license holder 
- Coordinates 
- Date/year of application and award 
- Duration 
- Type of license 
- Names of companies that hold an interest in the block","Yes, the registry contains at least the following information:
- Name of license holder 
- Coordinates 
- Date/year of application and award 
- Type of license 
","Yes, the registry contains at least the following information:
- Name of license holder 
- Coordinates
",No registry of licenses/contracts exists.,Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,2
QUESTION,Practice,45,,Qualitative rating A-F where A=best,NRGI research,"Is the publicly available registry of licenses/contracts available online, offline or in paper?",Cadastre platform,A government agency maintains a publicly available registry of license details online.,"A government agency maintains a publicly available registry of license details in digital format, but offline.",A government agency maintains a publicly available registry of license details in paper format only.,No registry of licenses/contracts exists.,Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,2
QUESTION,Practice,46,,Qualitative rating A-F where A=best,NRGI research,Does the publicly available registry of licenses/contracts cover areas/blocks?,Cadastre block coverage,"Yes, the registry includes information on both assigned and unassigned areas/blocks.","No, the registry excludes information on unassigned areas/blocks.","No, the registry contains no information on areas/blocks.",No registry of licenses/contracts exists.,Not applicable/Other.,,,High=good,multiple choice,100,50,0,0,.,.,.,,,,,,,1,1,2
QUESTION,Practice,47,,Qualitative rating A-F where A=best,NRGI research,Does the publicly available registry of licenses/contracts give the names of companies that hold an interest in a given area/block?,Cadastre interest holders,"Yes, the registry gives the names of all companies holding an interest in areas/blocks.","Yes, the registry gives the names for companies holding a majority interest in areas/blocks.","Yes, the registry gives the names for companies holding a minority interest in areas/blocks.","No, the registry does not give the names of companies that hold an interest in areas/blocks.",No registry of licenses/contracts exists.,Not applicable/Other.,,High=good,multiple choice,100,50,0,0,0,.,.,,,,,,,1,1,2
INDICATOR,,3,Pre-licensing round rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,28,,Qualitative rating A-F where A=best,NRGI research,Is the government required to set pre-defined criteria by which companies become qualified to participate in a licensing process?,Qualification criteria requirement,"Yes, the law requires the licensing authority to set minimum pre-defined criteria by which companies become qualified to participate in a licensing process.","Yes, a publicly documented policy requires the licensing authority to set minimum pre-defined criteria by which companies become qualified to participate in a licensing process.","No, rules do not require the licensing authority to set minimum pre-defined criteria by which companies become qualified to participate in award processes for licenses/contracts.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,3
QUESTION,Law,32,,Qualitative rating A-F where A=best,NRGI research,"Prior to each licensing process, is the licensing authority required to disclose a list of biddable terms or negotiable terms?",Biddable terms disclosure requirement,"Yes, the law requires the licensing authority to publicly disclose a list of biddable or negotiable terms.","Yes, a publicly documented policy requires the licensing authority to publicly disclose a list of biddable or negotiable terms.","No, the licensing authority is not required to publicly disclose a list of biddable or negotiable terms.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,3
QUESTION,Law,34,,Qualitative rating A-F where A=best,NRGI research,"Prior to each license processes, is the licensing authority required to disclose the rules governing the licensing process, such as auction or negotiation rules?",Licensing process requirement,"Yes, the law requires the licensing authority to publicly disclose the rules governing the licensing process, such as auction or negotiation rules.","Yes, a publicly documented policy requires the licensing authority to publicly disclose the rules governing the licensing process, such as auction or negotiation rules.","No, the licensing authority is not required to publicly disclose the rules governing the licensing process, such as auction or negotiation rules.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,3
QUESTION,Law,25,,Qualitative rating A-F where A=best,NRGI research,Is the licensing authority independent from the SOE?,Licensing authority independence,"Yes, the law requires the licensing authority to be independent from the SOE.","Yes, a publicly documented policy requires the licensing authority to be independent from the SOE.","No, rules do not require the licensing authority to be independent from the SOE.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,3
INDICATOR,,4,Pre-licensing round practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,29,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, did the licensing authority publicly disclose minimum pre-defined criteria by which companies become qualified to participate in licensing processes?",Qualification criteria disclosure,"Yes, the licensing authority actually publicly disclosed minimum pre-defined criteria by which companies become qualified to participate in each licensing process in all known cases.",The licensing authority actually publicly disclosed minimum pre-defined criteria by which companies become qualified to participate in each licensing process in some but not all known cases.,"No, the licensing authority has not publicly disclosed minimum pre-defined criteria by which companies become qualified to participate in award processes for licenses/contracts from 215, but has prior to 215.","No, the licensing authority has not publicly disclosed minimum pre-defined criteria by which companies become qualified to participate in award processes for licenses/contracts, in any known cases.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,4
QUESTION,Practice,33,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, and prior to each licensing process, did the licensing authority actually disclose a list of biddable or negotiable terms?",Biddable terms disclosure,"Yes, the licensing authority disclosed a list of biddable or negotiable terms, in all known cases.",The licensing authority disclosed a list of biddable or negotiable terms in some but not all known cases.,"No, the licensing authority has not disclosed a list of biddable or negotiable terms from 215, but has prior to 215.","No, the licensing authority has not disclosed a list of biddable or negotiable terms, in any known cases.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,4
QUESTION,Practice,35,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, and prior to each licensing process, did the licensing authority actually disclose the rules governing the licensing process, such as auction or negotiation rules?",Licensing process rule disclosure,"Yes, the licensing authority disclosed the rules governing the licensing process, in all known cases.",The licensing authority disclosed the rules governing the licensing process in some but not all known cases.,"No, the licensing authority has not disclosed the rules governing the allocation process from 215, but has prior to 215.","No, the licensing authority has not disclosed the rules governing the allocation process, in any known cases.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,4
INDICATOR,,5,Post-licensing round rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,37,,Qualitative rating A-F where A=best,NRGI research,"Following each licensing process, is the licensing authority required to disclose the list of companies that submitted license applications (in the case of a first-come, first served; or negotiation round) or bids (in the case of an auction)?",License applicant disclosure requirement,"Yes, the law requires the licensing authority to publicly disclose the list of companies that submitted bids or applications.","Yes, a publicly documented policy requires the licensing authority to publicly disclose the list of companies that submitted bids or applications.","No, the licensing authority is not required to publicly disclose the list of companies that submitted bids or applications.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,5
QUESTION,Law,39,,Qualitative rating A-F where A=best,NRGI research,"Following each licensing process, is the licensing authority required to publicly disclose the identity of the winning bidder or applicant?",License winner disclosure requirement,"Yes, the law requires the licensing authority to publicly disclose the identity of the winning bidder or applicant.","Yes, a publicly documented policy requires the licensing authority to publicly disclose the identity of the winning bidder or applicant.","No, the licensing authority is not required to publicly disclose the identity of the winning bidder or applicant.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,5
QUESTION,Law,41,,Qualitative rating A-F where A=best,NRGI research,"Following the licensing process, is the licensing authority required to publicly disclose the list of areas or blocks allocated?",Block allocation disclosure requirement,"Yes, the law requires the licensing authority to publicly disclose the list of areas or blocks allocated.","Yes, a publicly documented policy requires the licensing authority to publicly disclose the list of areas or blocks allocated.","No, the licensing authority is not required to publicly disclose the list of areas or blocks allocated.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,5
QUESTION,Law,43,,Qualitative rating A-F where A=best,NRGI research,Are there rules that companies can follow to appeal licensing decisions?,Licensing decision appeal requirement,"Yes, the law includes procedures that companies can follow to appeal license/contract allocation decisions.","Yes, a publicly documented policy includes procedures that companies can follow to appeal license/contract allocation decisions.","No, rules do not include procedures that companies can follow to appeal license/contract allocation decisions.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,5
INDICATOR,,6,Post-licensing round practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,38,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the list of companies that submitted license applications (in the case of a first-come, first served; or negotiation round) or bids (in the case of an auction)?",License applicant disclosure,"Yes, the licensing authority disclosed the list of companies that submitted bids/applications, in all known cases.",The licensing authority disclosed the list of companies that submitted bids/applications in some but not all known cases.,"No, the licensing authority has not disclosed the list of companies that submitted bids/applications from 2015, but has prior to 2015.","No, the licensing authority has not disclosed the list of companies that submitted bids/applications, in any known cases.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,6
QUESTION,Practice,40,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the identity of the winning bidder/applicant?",License winner disclosure,"Yes, the licensing authority disclosed the identity of the winning bidder/applicant, in all known cases.","The licensing authority disclosed the identity of the winning bidder/applicant, in some but not all known cases.","No, the licensing authority has not disclosed the identity of the winning bidder/applicant from 215, but has prior to 215.","No, the licensing authority has not disclosed the identity of the winning bidder/applicant, in any known cases.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,6
QUESTION,Practice,42,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, and after each licensing process, did the licensing authority actually disclose the list of areas/blocks allocated?",Block allocation disclosure,"Yes, the licensing authority has disclosed the list of areas/blocks allocated, in all known cases.",The licensing authority has disclosed the list of areas/blocks allocated in some but not all known cases.,"No, the licensing authority has not disclosed the list of areas/blocks allocated from 215, but has prior to 215.","No, the licensing authority has not disclosed the list of areas/blocks allocated, in any known cases.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,6
INDICATOR,,7,Financial interest disclosure rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,20,,Qualitative rating A-F where A=best,NRGI research,Are senior public officials required to publicly disclose their financial holdings in extractive companies?,Public officials asset disclosure requirement,"Yes, the law requires senior public officials to disclose their financial holdings in extractive companies.","Yes, a publicly documented policy requires that senior public officials disclose their financial holdings in extractive companies.","No, senior public officials are not required to publicly disclose their financial holdings in extractive companies, but they are required to disclose their financial holdings to a government authority.","No, senior public officials are not required to disclose their financial holdings in extractive companies.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,7
QUESTION,Law,22,,Qualitative rating A-F where A=best,NRGI research,Do rules require public disclosure of beneficial owners of extractive companies?,Beneficial ownership requirement,"Yes, the law requires public disclosure of beneficial owners of extractive companies.","Yes, a publicly documented policy requires public disclosure of beneficial owners of extractive companies.","No, there is no requirement to publicly disclose the beneficial owners of extractive companies.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,7
INDICATOR,,8,Financial interest disclosure practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,21,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, have senior public officials publicly disclosed their financial holdings in extractive companies?",Public officials asset disclosure,"Yes, senior public officials have publicly disclosed their financial holdings in extractive companies, with no known exceptions.","No, one or more senior public officials failed to publicly disclose their financial holdings in extractive companies from 215, but did publicly disclose their financial holdings prior to 215.","No, one or more senior public officials failed to publicly disclose their financial holdings in extractive companies.",Not applicable/Other.,,,,High=good,multiple choice,100,20,0,.,.,.,.,,,,,,,1,1,8
QUESTION,Practice,23,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, have the beneficial owners of extractive companies been disclosed?",Beneficial ownership disclosure,"Yes, all beneficial owners of extractive companies have been disclosed, in all known cases.",The beneficial owners of extractive companies have been disclosed in some but not all known cases.,"No, the beneficial owners in extractive companies have not been disclosed from 215, but were disclosed prior to 215.","No, the beneficial owners in extractive companies have not been disclosed, in any known cases.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,8
INDICATOR,,9,Contract disclosure rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,15,,Qualitative rating A-F where A=best,NRGI research,Is the government required to publicly disclose all signed licenses/contracts with extractive companies?,Contract disclosure requirement,"Yes, the law requires the government to publicly disclose all signed licences/contracts with extractive companies.","Yes, a publicly documented policy requires the government to publicly disclose all signed licences/contracts with extractive companies.","No, the government is not required to publicly disclose all signed licenses/contracts with extractive companies.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,9
INDICATOR,,10,Contract disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,16,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, has the government publicly disclosed signed licences/contracts?",Contract disclosure timeliness,"Yes, the government has publicly disclosed all the signed licences/contracts.",The government has publicly disclosed some but not all of the signed licences/contracts.,"No, the government disclosed none of the signed licences/contracts from 215, but did prior to 215.","No, the government disclosed none of the signed licences/contracts.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,1,10
QUESTION,Practice,17,,Qualitative rating A-F where A=best,NRGI research,"Has the government publicly disclosed all active licenses/contracts, regardless of when they were signed?",Historical contract disclosure,"Yes, the government has publicly disclosed all active licences/contracts.",The government has publicly disclosed some but not all active licences/contracts.,"No, the government has not disclosed any active licenses/contracts.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,1,10
SUB-COMPONENT,,2,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,11,Production disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,5,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose data on the volume of extractive resource production?,Production volume disclosure,"Yes, at the project level.","Yes, in the aggregate.","No, the government does not publicly disclose data on the volume of extractive resource production.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,11
QUESTION,Practice,6,,Qualitative rating A-F where A=best,NRGI research,How up-to-date is the publicly disclosed data on the volume of extractive resource production?,Production disclosure timeliness,The most recent publicly available data covers 2015 or 2016.,"The most recent publicly available data covers 2012, 2013 or 2014.",The most recent publicly available data covers 2011 or earlier years.,The government does not publicly disclose this data.,Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,2,11
QUESTION,Practice,7,,Qualitative rating A-F where A=best,NRGI research,Is the data disclosed on the volume of extractive resource production machine-readable?,Production disclosure machine-readability,The data is available via an API that is accompanied by a landing page and associated documentation.,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",The data is available in a proprietary machine-readable format (e.g. Access or XLS).,The data is available in a text-based format (e.g. PDF or Word).,The government  does not publicly disclose the data in digital format.,The government does not publicly disclose data on volume of extractive resource production.,Not applicable/Other.,High=good,multiple choice,100,90,80,50,0,0,.,,,,,,,1,2,11
INDICATOR,,12,Export disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,8,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose data on the value of extractive resource exports?,Export value disclosure,"Yes, at the project level.","Yes, in the aggregate.","No, the government does not publicly disclose data on the value of extractive resource exports.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,12
QUESTION,Practice,9,,Qualitative rating A-F where A=best,NRGI research,How up-to-date is the publicly disclosed data on the value of extractive resource exports?,Export disclosure timeliness,The most recent publicly available data covers 2015 or 2016.,"The most recent publicly available data covers 2012, 2013 or 2014.",The most recent publicly available data covers 2011 or earlier years.,The government does not publicly disclose this data.,Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,2,12
QUESTION,Practice,10,,Qualitative rating A-F where A=best,NRGI research,Is the data disclosed on the value of extractive resource exports machine-readable?,Export disclosure machine-readability,The data is available via an API that is accompanied by a landing page and associated documentation.,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",The data is available in a proprietary machine-readable format (e.g. Access or XLS).,The data is available in a text-based format (e.g. PDF or Word).,The government does not publicly disclose it in digital format.,The government does not publicly disclose data on the value of extractive resource exports.,Not applicable/Other.,High=good,multiple choice,100,90,80,50,0,0,.,,,,,,,1,2,12
INDICATOR,,13,Company payment rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,56,,Qualitative rating A-F where A=best,NRGI research,Is the government required to publicly disclose data on payments from extractive companies to the government?,Payment disclosure requirement,"Yes, the law requires the government to publicly disclose data on payments from extractive companies to the government.","Yes, a publicly documented policy requires the government to publicly disclose data on payments from extractive companies to the government.","No, the government is not required to publicly disclose data on payments from extractive companies to the government.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,13
INDICATOR,,14,Company payment disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,59,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose data on the value of tax/payment receipts?,Payment disclosure,"Yes, at the company-level.","Yes, in the aggregate.","No, the government does not publicly disclose data on the value of tax/payment receipts.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,14
QUESTION,Practice,60,,Qualitative rating A-F where A=best,NRGI research,How up-to-date is government data on the value of tax/payment receipts?,Payment disclosure timeliness,The most recent publicly available data covers a fiscal year ending in 2015 or 2016.,"The most recent publicly available data covers a fiscal year ending in 2012, 2013 or 2014.",The most recent publicly available data covers a fiscal year ending in 2011 or earlier.,The government does not publicly disclose data on the value of tax/payment receipts.,Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,1,2,14
QUESTION,Practice,61,,Qualitative rating A-F where A=best,NRGI research,Is the most recent publicly available data on tax and payment receipts disaggregated by payment type?,Payment disclosure disaggregation,"Yes, at the project-level.","Yes, in the aggregate.","No, the most recent publicly available data on tax/payment receipts is not disaggregated by payment type.",The government does not publicly disclose data on the value of tax/payment receipts.,Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,1,2,14
INDICATOR,,15,Taxation rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,50,,Qualitative rating A-F where A=best,NRGI research,Do rules specify the income tax rate(s) applying to extractive companies?,Income tax rate rule,"Yes, the law specifies the calculation of income tax rate(s) applying to extractive companies.","Yes, a publicly documented policy specifies the calculation of income tax rate(s) applying to extractive companies.","No, rules do not specify the calculation for income tax rate(s) applying to extractive companies.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,15
QUESTION,Law,51,,Qualitative rating A-F where A=best,NRGI research,Do rules specify the royalty rate(s) applying to extractive companies?,Royalty rate rule,"Yes, the law specifies the calculation of royalty rate(s) applying to extractive companies.","Yes, a publicly documented policy specifies the calculation of royalty rate(s) applying to extractive companies.","No, rules do not specify the calculation for royalty rate(s) applying to extractive companies.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,15
QUESTION,Law,52,,Qualitative rating A-F where A=best,NRGI research,Do rules specify the level of state equity (or options for state equity such as carried interest) in extractive companies ?,State equity rule,"Yes, the law specifies the level of state equity in extractive companies.","Yes, a publicly documented policy specifies the level of state equity in extractive companies.","No, rules do not specify the level of state equity in extractive companies.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,15
QUESTION,Law,53,,Qualitative rating A-F where A=best,NRGI research,Do rules specify the withholding tax rate(s) applying to extractive companies payments?,Withholding tax rate rule,"Yes, the law specifies the withholding tax rate(s) applying to extractive companies.","Yes, a publicly documented policy specifies the withholding tax rate(s) applying to extractive companies.","No, rules do not specify the withholding tax rate(s) applying to extractive companies.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,15
QUESTION,Law,54,,Qualitative rating A-F where A=best,NRGI research,"For countries using production sharing agreements, do rules specify the company and government production shares?",Production sharing arrangement rule,"Yes, the law specifies the company and government production shares.","Yes, a publicly documented policy specifies the company and government production shares.","No, rules do not specify the company and government production shares.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,15
INDICATOR,,16,Tax authority rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,62,,Qualitative rating A-F where A=best,NRGI research,"Is the government required to make all payments to the national treasury or deposit them into a national resource account, aside from amounts legally retained by SOEs?",Payment deposit requirement,"Yes, the law requires the government to make all payments to the national treasury or deposit them into a national resource account, aside from amounts legally retained by SOEs.","Yes, a publicly documented policy requires the government to make all payments to the national treasury or deposit them into a national resource account, aside from amounts legally retained by SOEs.","No, the government is not required to make all payments to the national treasury or deposit them into a national resource account, aside from amounts legally retained by SOEs.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,16
QUESTION,Law,63,,Qualitative rating A-F where A=best,NRGI research,Is the national tax authority required to audit extractive companies?,Taxpayer audit requirement,"Yes, the law requires the national tax authority to audit extractive companies.","Yes, a publicly documented policy requires the national tax authority to audit extractive companies.","No, the national tax authority is not required to audit extractive companies.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,1,2,16
