Type,Law/Practice,Number,Element name,UNIT,SOURCE,Question,Question label,ZERO (A),ONE (B),TWO (C),THREE (D),FOUR (E),FIVE (F),SIX (G),POLARITY,SCORING_SYSTEM,SCORE_PARAM_A,SCORE_PARAM_B,SCORE_PARAM_C,SCORE_PARAM_D,SCORE_PARAM_E,SCORE_PARAM_F,SCORE_PARAM_G,DATA_TYPE,DP,VALID_MIN,VALID_MAX,PRE_ROUND,INTERNAL NOTES,Component,Sub-component,Indicator
COMPONENT,,2,Revenue management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-COMPONENT,,5,National budgeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,36,Online data portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,11,,Qualitative rating A-F where A=best,NRGI research,"Does the government have an online data portal containing publicly available data on reserves, production and exports?",Online data portal coverage,"Yes, the government has a online data portal where the data listed is publicly available.",No such portal exists.,Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,2,5,36
QUESTION,Practice,12,,Qualitative rating A-F where A=best,NRGI research,"Does the online data portal contain the most recent publicly available data on reserves, production and exports?",Online data portal timeliness,"Yes, the online data portal contains the most publicly available data on reserves, production and exports.","No, the online data portal does not contain the most recent publicly available data on reserves, production and exports.",No such portal exists.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,5,36
QUESTION,Practice,13,,Qualitative rating A-F where A=best,NRGI research,Is the data contained in the online data portal machine-readable?,Online data portal machine-readability,The data is available via an API that is accompanied by a landing page and associated documentation.,"The data is available in a non-proprietary machine-readable format (e.g. CSV, TSV or JSON).",The data is available in a proprietary machine-readable format (e.g. Access or XLS).,The data is available in a text-based format (e.g. PDF or Word).,No such portal exists.,Not applicable/Other.,,High=good,multiple choice,100,90,80,20,0,.,.,,,,,,,2,5,36
QUESTION,Practice,14,,Qualitative rating A-F where A=best,NRGI research,Is the data contained in the online data portal available under an open license?,Online data portal open license,"Yes, the data is available under an open license which imposes no restrictions on use, redistribution or modification, including for commercial purposes.","No, the data is available under a license which imposes restrictions in some of these areas.",The data has unknown licensing status.,No such portal exists.,Not applicable/Other.,,,High=good,multiple choice,100,50,0,0,.,.,.,,,,,,,2,5,36
INDICATOR,,37,Fiscal rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,117,,Qualitative rating A-F where A=best,NRGI research,Does the country have a numerical fiscal rule?,Fiscal rule existence,"Yes, the law includes a numerical fiscal rule for the government.","Yes, a publicly documented policy includes a numerical fiscal rule for the government.","No, there is no numerical fiscal rule.",Not applicable/Other.,,,,High=good,multiple choice,100,80,0,.,.,.,.,,,,,,,2,5,37
QUESTION,Law,119,,Qualitative rating A-F where A=best,NRGI research,Do rules require that an external body periodically monitor the government's adherence to the numerical fiscal rule?,Fiscal rule monitoring requirement,"Yes, the law requires that an external body periodically monitor the government's adherence to the fiscal rule.","Yes, a publicly documented policy requires that an external body periodically monitor the government's adherence to the fiscal rule.","No, there is no requirement for the government's adherence to the fiscal rule to be periodically monitored.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,5,37
INDICATOR,,38,Fiscal rule practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,118,,Qualitative rating A-F where A=best,NRGI research,"Over the most recently completed fiscal year, did the government adhere to the numerical fiscal rule?",Fiscal rule adherence,"Yes, the government adhered to the fiscal rule in the most recently completed fiscal year.","No, the government suspended, modified or disregarded the fiscal rule in the most recently completed fiscal year.",No numerical fiscal rule has been set.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,5,38
QUESTION,Practice,120,,Qualitative rating A-F where A=best,NRGI research,Was the government's adherence to the fiscal rule externally monitored over the most recently completed audit timeframe?,Fiscal rule monitoring timeframe,"Yes, the government's adherence to the fiscal rule was monitored over the most recently completed audit timeframe, with no known exceptions.","No, the government's adherence to the fiscal rule was not monitored over the recently completed audit timeframe.",There is no requirement for the government's adherence to the fiscal rule to be subject to a periodic external monitoring.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,5,38
INDICATOR,,39,National budget disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,121,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose projections of extractive resource revenues?,Revenue projections disclosure,"Yes, the most recent projections were disclosed in 2015 or 2016.","Yes, the most recent projections were disclosed in 2012, 2013 or 2014.","Yes, the most recent projections were disclosed in 2011 or earlier.","No, the government does not publicly disclose such projections.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,2,5,39
QUESTION,Practice,122,,Qualitative rating A-F where A=best,NRGI research,Has the government publicly disclosed a national budget that has been enacted for the current fiscal year?,Budget disclosure,"Yes, the government has publicly disclosed a national budget that has been enacted for the current fiscal year.","No, the government has not publicly disclosed a national budget that has been enacted for the current fiscal year.",Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,2,5,39
QUESTION,Practice,125,,Qualitative rating A-F where A=best,NRGI research,"For the most recently completed fiscal year, did the government publicly disclose total government expenditures?",Government expenditure disclosure,"Yes, the government has publicly disclosed total government expenditures.","No, the government has not publicly disclosed total government expenditures.",Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,2,5,39
QUESTION,Practice,124,,Qualitative rating A-F where A=best,NRGI research,"For the most recently completed fiscal year, did the government publicly disclose the total resource revenue received?",Resource revenue disclosure,"Yes, the government has publicly disclosed the total resource revenue received.","No, the government has not publicly disclosed the total resource revenue received.",Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,2,5,39
INDICATOR,,40,National debt disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,126,,Qualitative rating A-F where A=best,NRGI research,Does the government publicly disclose the level of national debt?,Debt level disclosure,"Yes, the most recent publicly available information on the level of national debt covers a fiscal year ending in 2015 or 2016.","Yes, the most recent publicly available information on the level of national debt covers a fiscal year ending in 2012, 2013 or 2014.","Yes, the most recent publicly available information on the level of national debt covers a fiscal year ending in 2011 or earlier.","No, the government does not publicly disclose information on the level of national debt.",Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,2,5,40
QUESTION,Practice,127,,Qualitative rating A-F where A=best,NRGI research,Is the most recent publicly available information on the national debt disaggregated by currency denomination (i.e. foreign or domestic)?,Debt currency denomination,"Yes, the most recent publicly available information on the national debt is disaggregated by currency denomination.","No, the most recent publicly available information on the national debt is not disaggregated by currency denomination.","No, the government does not publicly disclose the level of national debt.",Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,5,40
SUB-COMPONENT,,6,Subnational resource revenue sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,41,Subnational transfer agency rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,132,,Qualitative rating A-F where A=best,NRGI research,Do rules specify which subnational agencies receive the extractive resource revenues transferred from the central government?,Subnational agency rule,"Yes, the law specifies which subnational agencies receive the extractive resource revenues transferred from the central government.","Yes, a publicly documented policy specifies which subnational agencies receive the extractive resource revenues transferred from the central government.",No rules specify which subnational agencies receive the extractive resource revenues transferred from the central government.,Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,6,41
INDICATOR,,42,Subnational transfer rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,133,,Qualitative rating A-F where A=best,NRGI research,Do rules specify a formula governing the transfer of extractive resource revenues between the central government and subnational governments?,Revenue sharing formula,"Yes, the law specifies a formula governing the transfer of extractive resource revenues between the central government and subnational governments.","Yes, a publicly documented policy specifies a formula governing the transfer of extractive resource revenues between the central government and subnational governments.",No rules specify a formula governing the transfer of extractive resource revenues between the central government and subnational governments.,Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,6,42
QUESTION,Law,134,,Qualitative rating A-F where A=best,NRGI research,"If there is a formula governing the transfer of extractive resource revenue between the central government and subnational governments, does this formula specify the amount of revenue received by each subnational government?",Revenue share amount specification,"Yes, this formula specifies the amount of revenue received by each subnational government, either by amount or share.","No, this formula does not specify the amount of revenue received by each subnational government, either by amount or share.",Not applicable/Other.,,,,,High=good,multiple choice,100,0,.,.,.,.,.,,,,,,,2,6,42
INDICATOR,,43,Subnational transfer disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,135,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, did the central government disclose the amount of revenues transferred to subnational governments?",Revenues shared disclosure,"Yes, for each subnational government the central government has publicly disclosed the amount of revenues transferred.","Yes, in the aggregate the central government has publicly disclosed the amount of revenues transferred.","No, the central government has not publicly disclosed the amount of revenues transferred from 215, but did prior to 215.","No, the central government has not publicly disclosed the amount of revenues transferred.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,2,6,43
QUESTION,Practice,136,,Qualitative rating A-F where A=best,NRGI research,How up-to-date is the information publicly disclosed by the central government on the amount of revenues transferred to subnational governments?,Revenues shared disclosure timeliness,The most recent publicly available information covers a fiscal year ending in 2015 or 2016.,"The most recent publicly available information covers a fiscal year ending in 2012, 2013 or 2014.",The most recent publicly available information covers a fiscal year ending in 2011 or earlier.,The government does not publicly disclose this information.,Not applicable/Other.,,,High=good,multiple choice,100,80,20,0,.,.,.,,,,,,,2,6,43
QUESTION,Practice,138,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, has the central government publicly disclosed the amount of revenue transferred by revenue stream?",Revenues shared disclosure by revenue stream,"Yes, the central government has publicly disclosed the amount of revenue transferred by revenue stream, covering a fiscal year ending in 2015 or 2016.","Yes, the central government has publicly disclosed the amount of revenue transferred by revenue stream, covering a fiscal year ending in 2012, 2013 or 2014.","Yes, the central government has publicly disclosed the amount of revenue transferred by revenue stream, covering a fiscal year ending in 2011 or earlier.","No, the government does not publicly disclose the amount of revenue transferred by revenue stream.",Not applicable/Other.,,,High=good,multiple choice,100,50,20,0,.,.,.,,,,,,,2,6,43
INDICATOR,,44,Subnational transfer audit rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,142,,Qualitative rating A-F where A=best,NRGI research,Do rules require that an external body periodically audit the transfers of extractive resource revenues to subnational governments?,Transfer audit requirement,"Yes, the law requires that an external body periodically audit the transfers of extractive resource revenues to subnational governments.","Yes, a publicly documented policy requires that an external body periodically audit the transfers of extractive resource revenues to subnational governments.","No, there are no rules requiring an external audit of the transfers of extractive resource revenues to subnational governments.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,6,44
INDICATOR,,45,Subnational transfer audit practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,143,,Qualitative rating A-F where A=best,NRGI research,Were transfers of extractive resource revenues to subnational governments externally audited over the most recently completed audit timeframe?,Transfer audit timeframe,"Yes, transfers of extractive resource revenues to subnational governments were audited over the most recently completed audit timeframe, with no known exceptions.","No, transfers of extractive resource revenues to subnational governments were not audited over the most recently completed audit timeframe.",There is no requirement for transfers of extractive resource revenues to subnational governments to be subject to a periodic external audit.,Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,6,45
SUB-COMPONENT,,7,Sovereign wealth funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,46,SWF deposit and withdrawal rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,146,,Qualitative rating A-F where A=best,NRGI research,Are there numeric rules governing the size of withdrawals from the sovereign wealth fund?,SWF withdrawal rule,"Yes, the law includes numeric rules governing the size of withdrawals from the fund.","Yes, a publicly documented policy includes numeric rules governing the size of withdrawals from the fund.","No, there are no numeric rules governing the size of withdrawals from the fund.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,7,46
QUESTION,Law,148,,Qualitative rating A-F where A=best,NRGI research,Do rules require that withdrawals and spending from the sovereign wealth fund pass through the national budget?,SWF national budget review requirement,"Yes, the law requires that withdrawals/spending from the fund pass through the national budget.","Yes, a publicly documented policy requires that withdrawals/spending from the fund pass through the national budget.","No, there are no requirements that withdrawals/spending from the fund pass through the national budget.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,7,46
QUESTION,Law,150,,Qualitative rating A-F where A=best,NRGI research,Are there numeric rules governing the size of deposits into the sovereign wealth fund?,SWF deposit rule,"Yes, the law includes numeric rules governing the size of deposits into the fund.","Yes, a publicly documented policy includes numeric rules governing the size of deposits into the fund.","No, there is no numeric rule governing the size of deposits into the fund.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,7,46
INDICATOR,,47,SWF deposit and withdrawal practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,160,,Qualitative rating A-F where A=best,NRGI research,Does the sovereign wealth fund's most recent publicly available annual financial report specify the size of the fund?,SWF size of fund disclosure,"Yes, the sovereign wealth fund's most recent publicly available report specifies the size of the fund for the fiscal year covered by the report.","Yes, the sovereign wealth fund's most recent publicly available report specifies the size of the fund, for the fiscal year prior to that covered by the report.","Yes, the sovereign wealth fund's most recent publicly available report specifies the size of the fund, for a fiscal year more than one year prior to that covered by the report.","No, the sovereign wealth fund's most recent publicly available report does not specify the size of the fund.",The sovereign wealth fund does not publicly disclose annual financial reports.,Not applicable/Other.,,High=good,multiple choice,100,80,50,0,0,.,.,,,,,,,2,7,47
QUESTION,Practice,161,,Qualitative rating A-F where A=best,NRGI research,Does the sovereign wealth fund's most recent publicly available annual financial report disclose ?,SWF deposit and withdrawal amounts disclosure,"Yes, the sovereign wealth fund's most recent publicly available annual financial report discloses deposit and withdrawal amounts for the fiscal year covered by the report.","Yes, the sovereign wealth fund's most recent publicly available annual financial report discloses deposit and withdrawal amounts, for the fiscal year prior to that covered by the report.","Yes, the sovereign wealth fund's most recent publicly available annual financial report discloses deposit and withdrawal amounts, for a fiscal year more than one year prior to that covered by the report.","No, the sovereign wealth fund's most recent publicly available report does not disclose deposit and withdrawal amounts.",The sovereign wealth fund does not publicly disclose annual financial reports.,Not applicable/Other.,,High=good,multiple choice,100,80,50,0,0,.,.,,,,,,,2,7,47
QUESTION,Practice,147,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, has the government adhered to the numeric rules governing the size of withdrawals from sovereign wealth funds?",SWF withdrawal rule adherence,"Yes, the numeric rules governing the size of withdrawals from sovereign wealth funds have been adhered to, with no known exceptions.","No, the government failed to adhere to the numeric rules governing the size of withdrawals from sovereign wealth funds from 215, but did prior to 215.","No, the government failed to adhere to the numeric rules governing the size of withdrawals from sovereign wealth funds in one or more cases.",The rules governing the size of withdrawals from the sovereign wealth fund have not been publicly disclosed.,There are no such rules governing the size of withdrawals from the sovereign wealth fund.,Not applicable/Other.,,High=good,multiple choice,100,20,0,0,0,.,.,,,,,,,2,7,47
QUESTION,Practice,151,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, has the government adhered to the numeric rules governing the size of deposits into the sovereign wealth fund?",SWF deposit rule adherence,"Yes, the government has adhered to the rules governing the size of deposits into the sovereign wealth fund, with no known exceptions.","No, the government failed to adhere to the numeric rules governing the size of deposits into the sovereign wealth fund from 215, but did prior to 215.","No, the government failed to adhere to the numeric rules governing the size of deposits into the sovereign wealth fund in one or more cases.",The rules governing the size of deposits into the sovereign wealth fund have not been publicly disclosed.,There are no such rules governing the size of deposits into the sovereign wealth fund.,Not applicable/Other.,,High=good,multiple choice,100,20,0,0,0,.,.,,,,,,,2,7,47
INDICATOR,,48,SWF investment rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,154,,Qualitative rating A-F where A=best,NRGI research,Is the sovereign wealth fund prohibited from investing in domestic assets without budgetary approval?,SWF domestic investment rule,"Yes, the law prohibits the fund from investing in domestic assets without budgetary approval.","Yes, a publicly documented policy prohibits the fund from investing in domestic assets without budgetary approval.","No, the sovereign wealth fund is not prohibited from investing in domestic assets without budgetary approval.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,7,48
QUESTION,Law,155,,Qualitative rating A-F where A=best,NRGI research,Is the sovereign wealth fund prohibited from investing in certain asset classes or investment types?,SWF asset class rule,"Yes, the law prohibits the fund from investing in certain asset classes or investment types.","Yes, a publicly documented policy prohibits the fund from investing in certain asset classes or investment types.","No, the fund is not prohibited from investing in any asset class or investment type.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,7,48
INDICATOR,,49,SWF investment practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,162,,Qualitative rating A-F where A=best,NRGI research,Does the sovereign wealth fund's most recent publicly available annual financial report specify the rate of return made on its investments?,SWF rate of return disclosure,"Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies investment returns for the fiscal year covered by the report.","Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies investment returns, for the fiscal year prior to that covered by the report.","Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies investment returns, for a fiscal year more than one year prior to that covered by the report.","No, the sovereign wealth fund's most recent publicly available report does not specify investment returns.",The sovereign wealth fund does not publicly disclose annual financial reports.,Not applicable/Other.,,High=good,multiple choice,100,80,50,0,0,.,.,,,,,,,2,7,49
QUESTION,Practice,163,,Qualitative rating A-F where A=best,NRGI research,Does the sovereign wealth fund's most recent publicly available annual financial report include a list of assets held?,SWF assets held disclosure,"Yes, the sovereign wealth fund's most recent publicly available annual financial report includes a list of assets held for the fiscal year covered by the report.","Yes, the sovereign wealth fund's most recent publicly available annual financial report includes a list of assets held, for the fiscal year prior to that covered by the report.","Yes, the sovereign wealth fund's most recent publicly available annual financial report includes a list of assets held, for a fiscal year more than one year prior to that covered by the report.","No, the sovereign wealth fund's most recent publicly available report does not include a list of assets held.",The sovereign wealth fund does not publicly disclose annual financial reports.,Not applicable/Other.,,High=good,multiple choice,100,80,50,0,0,.,.,,,,,,,2,7,49
QUESTION,Practice,164,,Qualitative rating A-F where A=best,NRGI research,Does the sovereign wealth fund's most recent publicly available annual financial report specify the fund's asset allocation by asset class?,SWF asset class disclosure,"Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies the fund's asset allocation by asset class for the fiscal year covered by the report.","Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies the fund's asset allocation by asset class, for the fiscal year prior to that covered by the report.","Yes, the sovereign wealth fund's most recent publicly available annual financial report specifies the fund's asset allocation by asset class, for a fiscal year more than one year prior to that covered by the report.","No, the sovereign wealth fund's most recent publicly available report does not specify asset allocation by asset class.",The sovereign wealth fund does not publicly disclose annual financial reports.,Not applicable/Other.,,High=good,multiple choice,100,80,50,0,0,.,.,,,,,,,2,7,49
QUESTION,Practice,149,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, have withdrawals and spending from the sovereign wealth fund actually passed through the national budget?",SWF national budget review practice,"Yes, withdrawals/spending from the sovereign wealth fund actually passed through the normal budgetary process, with no known exceptions.","No, withdrawals/spending from the sovereign wealth fund failed to pass through the normal budgetary process from 215, but did prior to 215.","No, withdrawals/spending from the sovereign wealth fund failed to pass through the normal budgetary process in one or more cases.",Not applicable/Other.,,,,High=good,multiple choice,100,20,0,.,.,.,.,,,,,,,2,7,49
QUESTION,Practice,156,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, has the sovereign wealth fund adhered to rules limiting asset class or investment types?",SWF asset class rule adherence,"Yes, the fund has only invested in allowed asset classes or investment types, with no known exceptions.","No, the fund has invested in prohibited asset classes or investment types from 215, but did adhere to rules prior to 215.","No, the fund has invested in prohibited asset classes or investment types, in one or more cases.",Not applicable/Other.,,,,High=good,multiple choice,100,20,0,.,.,.,.,,,,,,,2,7,49
INDICATOR,,50,SWF financial reporting rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Law,157,,Qualitative rating A-F where A=best,NRGI research,Is the sovereign wealth fund required to produce annual financial reports?,SWF annual financial reporting requirement,"Yes, the law requires the fund to produce annual financial reports.","Yes, a publicly documented policy requires the fund to produce annual financial reports.","No, the fund is not required to produce annual financial reports.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,7,50
QUESTION,Law,158,,Qualitative rating A-F where A=best,NRGI research,Is the sovereign wealth fund required to publicly disclose these annual financial reports?,SWF financial report disclosure rule,"Yes, the law requires the fund to publicly disclose annual financial reports.","Yes, a publicly documented policy requires the fund to publicly disclose annual financial reports.","No, the fund is not required to publicly disclose annual financial reports.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,7,50
QUESTION,Law,165,,Qualitative rating A-F where A=best,NRGI research,Do rules require an external body to periodically audit the sovereign wealth fund's annual financial reports?,SWF financial audit requirement,"Yes, the law requires the fund's annual financial reports to be periodically audited.","Yes, a publicly documented policy requires the fund's annual financial reports to be periodically audited.","No, these annual financial reports are not subject to a periodic external audit.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,7,50
QUESTION,Law,167,,Qualitative rating A-F where A=best,NRGI research,Is the legislature required to review the sovereign wealth fund's annual financial reports?,SWF legislative review requirement,"Yes, the law requires the legislature to review the fund's annual financial reports.","Yes, a publicly documented policy requires the legislature to review the fund's annual financial reports.","No, the legislature is not required to review the fund's annual financial reports.",Not applicable/Other.,,,,High=good,multiple choice,100,50,0,.,.,.,.,,,,,,,2,7,50
INDICATOR,,51,SWF financial reporting practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Practice,159,,Qualitative rating A-F where A=best,NRGI research,Does the sovereign wealth fund publicly disclose its annual financial reports?,SWF financial report disclosure,"Yes, the sovereign wealth fund's most recent publicly available report covers a fiscal year ending in 2015 or 2016.","Yes, the sovereign wealth fund's most recent publicly available report covers a fiscal year ending in 2012, 2013 or 2014.","Yes, the sovereign wealth fund's most recent publicly available report covers a fiscal year ending in 2011 or earlier.","No, the sovereign wealth fund does not publicly disclose its annual financial reports.",The sovereign wealth fund does not produce annual financial reports.,Not applicable/Other.,,High=good,multiple choice,100,80,20,0,0,.,.,,,,,,,2,7,51
QUESTION,Practice,166,,Qualitative rating A-F where A=best,NRGI research,Were these annual financial reports audited over the most recently completed audit timeframe?,SWF financial audit timeframe,"Yes, these annual financial reports were audited over the most recently completed audit timeframe, with no known exceptions.","No, these annual financial reports were not audited over the most recently completed audit timeframe.","No, there is no requirement for a periodic external audit of the annual financial reports.",Not applicable/Other.,,,,High=good,multiple choice,100,0,0,.,.,.,.,,,,,,,2,7,51
QUESTION,Practice,168,,Qualitative rating A-F where A=best,NRGI research,"From 2015 onwards, has the legislature reviewed the sovereign wealth fund's annual financial reports?",SWF legislative review,"Yes, the legislature has reviewed the fund's annual financial reports, with no known exceptions.","No, the legislature failed to review the fund's annual financial reports from 215, but did prior to 215.","No, the legislature failed to review the fund's annual financial reports in one or more cases.",The legislature is not required to review the fund's annual financial reports.,Not applicable/Other.,,,High=good,multiple choice,100,20,0,0,.,.,.,,,,,,,2,7,51
COMPONENT,,3,Enabling environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-COMPONENT,,8,Voice and accountability,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,
SUB-COMPONENT,,9,Government effectiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,
SUB-COMPONENT,,10,Regulatory quality,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,
SUB-COMPONENT,,11,Rule of law,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,
SUB-COMPONENT,,12,Control of corruption,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,
SUB-COMPONENT,,13,Political stability and absence of violence,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,
SUB-COMPONENT,,14,Open data,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,
INDICATOR,,52,Open data inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,53,Open data barometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,,54,Open data index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,