,ISO,M,O&G,LAW,PRACTICE,GAP,
Afghanistan,AFG,1,0,53,44,-9,
Algeria,DZA,0,1,38,37,-1,
Angola,AGO,0,1,47,44,-3,
Argentina,ARG,0,1,59,56,-3,
Australia (Western),AU-WA,1,0,49,68,20,
Azerbaijan,AZE,0,1,33,58,25,
Bahrain,BHR,0,1,30,24,-6,
Bangladesh,BGD,0,1,32,44,12,
Bolivia,BOL,0,1,65,55,-9,
Botswana,BWA,1,0,43,43,0,
Brazil,BRA,0,1,72,66,-6,
Burkina Faso,BFA,1,0,86,49,-37,
Cambodia,KHM,1,0,36,20,-17,
Cameroon,CMR,0,1,68,53,-15,
Canada (Alberta),CA-AB,0,1,62,66,4,
Chad,TCD,0,1,49,37,-12,
Chile,CHL,1,0,79,73,-6,
China,CHN,0,1,53,51,-2,
Colombia (mining),COL,1,0,78,66,-12,
Colombia (oil and gas),COL,0,1,69,72,3,
Congo,COG,0,1,65,30,-36,
Cote d'Ivoire,CIV,0,1,68,52,-15,
Cuba,CUB,0,1,31,26,-5,
Democratic Republic of Congo,COD,1,0,59,43,-16,
Democratic Republic of Congo,COD,0,1,42,36,-6,
Ecuador,ECU,0,1,68,46,-22,
Egypt,EGY,0,1,57,33,-24,
Equatorial Guinea,GNQ,0,1,47,11,-36,
Eritrea,ERI,1,0,24,8,-16,
Ethiopia,ETH,1,0,55,36,-19,
Gabon,GAB,0,1,31,20,-11,
Ghana,GHA,1,0,61,53,-7,
Ghana,GHA,0,1,70,63,-7,
Guatemala,GTM,1,0,39,42,3,
Guinea,GIN,1,0,60,38,-22,
India,IND,0,1,70,74,4,
Indonesia,IDN,1,0,80,61,-19,
Indonesia,IDN,0,1,72,66,-6,
Iran,IRN,0,1,50,28,-22,
Iraq,IRQ,0,1,50,54,4,
Kazakhstan,KAZ,0,1,52,54,2,
Kuwait,KWT,0,1,51,46,-5,
Kyrgyzstan,KGZ,1,0,62,56,-6,
Laos,LAO,1,0,52,26,-26,
Liberia,LBR,1,0,73,40,-32,
Libya,LBY,0,1,35,19,-16,
Madagascar,MDG,1,0,45,29,-16,
Malaysia,MYS,0,1,31,58,27,
Mali,MLI,1,0,57,46,-11,
Mauritania,MRT,1,0,33,36,3,
Mexico,MEX,1,0,73,51,-22,
Mexico,MEX,0,1,64,62,-2,
Mongolia,MNG,1,0,73,53,-20,
Morocco,MAR,1,0,58,51,-8,
Mozambique,MOZ,0,1,73,54,-18,
Myanmar,MMR,1,0,39,24,-15,
Myanmar,MMR,0,1,42,39,-3,
Niger,NER,1,0,74,44,-29,
Nigeria,NGA,0,1,57,39,-18,
Norway,NOR,0,1,66,84,18,
Oman,OMN,0,1,38,32,-6,
Papua New Guinea,PNG,1,0,60,43,-17,
Peru,PER,1,0,64,65,1,
Philippines,PHL,1,0,65,51,-14,
Qatar,QAT,0,1,22,35,13,
Russia,RUS,0,1,47,43,-5,
Saudi Arabia,SAU,0,1,13,31,18,
Sierra Leone,SLE,1,0,64,52,-12,
South Africa,ZAF,1,0,51,46,-5,
South Sudan,SSD,0,1,78,20,-58,
Sudan,SDN,0,1,29,24,-5,
Tanzania,TZA,1,0,69,43,-26,
Tanzania,TZA,0,1,77,49,-29,
Timor-Leste,TLS,0,1,56,50,-6,
Trinidad and Tobago,TTO,0,1,57,67,10,
Tunisia,TUN,1,0,45,36,-9,
Tunisia,TUN,0,1,59,57,-2,
Turkmenistan,TKM,0,1,16,5,-10,
Uganda,UGA,0,1,49,38,-11,
Ukraine,UKR,0,1,61,61,0,
United Arab Emirates,ARE,0,1,30,26,-4,
United Kingdom,GBR,0,1,72,68,-4,
United States of America (Gulf of Mexico),GOM,0,1,58,78,20,
Uzbekistan,UZB,0,1,56,23,-33,
Venezuela,VEN,0,1,47,39,-8,
Vietnam,VNM,0,1,53,46,-7,
Yemen,YEM,0,1,59,33,-26,
Zambia,ZMB,1,0,53,56,3,
Zimbabwe,ZWE,1,0,36,35,-1,